Ticker,NPM_Y,GPM_X1,OPM_X2,EBITDA_M_X3,ROA_X5,ROE_X6,CurrRatio_X7,QuickRatio_X8,CashPS_X10,LogOpCashFlow_X11,FCF_PS_X12,DER_X13,PER_X16,PBV_X17,PSR_X18,FirmSize_X19,RevGrowth_X20
CPRO,0.041550003,0.20368,0.09048,0.102390006,0.07947,0.10436,1.093,0.409,2.054324002610733,27.078345157527984,5.461980699963643,43.245,8.985507,0.92504174,0.37961978,28.93759234420409,0.081
MSJA,0.07433,0.18787001,0.11095,0.13692,0.03813,0.05955,2.255,1.61,0.0026605345286237,19.165081778375473,0.0004210745329475,16.159,25.829216,34.896095887499996,76.3275764,28.397856034326427,-0.098
STAR,0.39859498125,0.8970836937500001,-0.09069,-0.32741624875,-0.0027599998,0.01746,6.9083749999999995,4.698624999999999,106.45695859518976,21.96592968831191,-7.706850020099226,5.327,115.90186012499998,7.1529446,76.3275764,28.951175775193462,0.548
PTSN,0.055040002,0.14298001,0.0758,0.14795,0.04937,0.096420005,1.245,0.644,0.0016261988309375,19.165081778375473,-0.0055955195975269,24.641,8.707709,34.896095887499996,76.3275764,28.143068379671664,0.5878749999999999
CMNP,0.18215999,0.39001,0.36645,0.40620998,0.043720003,0.05054,0.923,0.515,58.37695856440821,27.01135898169703,-89.75242766083986,40.363,9.712929,0.5895608,1.8854378,29.83268901060612,0.168
UNIC,0.07027,0.13729,0.13482,0.087299995,0.058369998,0.09061,6.72,4.638,0.4181842016407094,19.165081778375473,0.1605702583746063,1.48,7.5670104,34.896095887499996,76.3275764,28.88864800766653,0.218
INET,0.24544,0.44139,0.46311375624999995,0.51993,0.04389,0.06432,2.242,2.227,7.183177908187969,25.079560317306417,0.3175243987934277,2.833,115.90186012499998,7.873434,76.3275764,29.595965137641493,0.5878749999999999
MDIY,0.14133,0.56194,0.20628999,0.27278,0.15513,0.31117,1.673,0.188,14.579169508120398,27.85730376818193,7.544166298325171,54.99,20.07985,5.593317,2.8192308,30.700829931598115,0.187
CARS,0.040949997,0.12562999,-0.011030001,0.063,0.05481,0.20035,0.907,0.713,29.611393024,25.70012955183744,26.5523101696,88.656,7.0053887,1.4561398,0.26797235,27.94217558920137,-0.309
PGAS,0.0806,0.17105,0.14538,0.21868,0.049489997,0.12082,1.936,1.704,0.0527224120594778,20.29096694310937,0.0201593740813864,32.802,10.126348,34.896095887499996,76.3275764,31.59841240719015,0.008
PSSI,0.02623,0.14142999,0.01958,0.22752,0.01097,0.011089999,6.269,4.698624999999999,0.0152740196979793,19.165081778375473,0.0021391807005571,9.545,68.26347,34.896095887499996,76.3275764,28.21397616161005,-0.207
LPPF,0.13652,0.66010004,0.01874,0.25105,0.16562749999999998,0.37747999925,0.522,0.078,533.7088592172603,28.060824296121936,149.54602889564947,134.96012499999998,5.1105666,22.494362,0.3634715,28.39525873152501,-0.12
PBRX,0.32406,0.13861,0.00777,0.06043,0.026789999,0.37747999925,4.844,1.802,0.0006428949744338,19.165081778375473,0.0007259613860206,68.723,0.6330024,34.896095887499996,76.3275764,27.57467219861386,-0.061
MKPI,0.39859498125,0.54925996,0.46311375624999995,0.59115005,0.083459996,0.14846,2.167,2.035,533.7088592172603,27.960284088623336,149.54602889564947,0.03,20.721405,2.9984555,8.806159,30.732695416362738,0.009
MDLA,0.02558,0.09526,0.03348,0.035669997,0.0508,0.15032,1.73,1.02,27.113376391127414,27.01366950519385,17.73654631496504,10.479,8.838569,1.1580609,0.22801295,28.85217648133525,0.114
DOOH,0.02158,0.28375998,0.068390004,0.18552999,0.02153,0.00961,5.418,2.082,1.394985638870029,23.466095345888068,-4.141356714148211,24.353,115.90186012499998,5.787671,8.221722,27.899422957393515,-0.139
FPNI,0.00057,-0.0167,-0.00815,-0.02471,-0.05836,0.00176,1.449,0.834,0.0060927915171239,19.165081778375473,0.0039273262822348,0.255,115.90186012499998,34.896095887499996,76.3275764,28.674427605455936,-0.093
WOMF,0.17802,0.8970836937500001,0.10199001,0.0,0.029409999,0.11630999,4.071,4.051,176.3111501877069,23.928853731208797,0.0,134.96012499999998,5.0518136,0.5667194,0.8993648,27.713726955267067,-0.157
SONA,0.082040004,0.52157,0.16496,0.1027,0.051820002,0.11016,4.382,3.969,533.7088592172603,25.96537188917941,149.54602889564947,16.696,18.019257,1.8720828,1.47547,27.8946276861254,-0.001
POWR,0.109189995,0.45856997,0.22167,0.31322,0.05454,0.08249,6.9083749999999995,4.698624999999999,0.0196689094638326,19.165081778375473,0.0039062769110189,48.03,11.037528,34.896095887499996,76.3275764,30.036249629786656,0.004
TSPC,0.110080004,0.37307,0.15800999,0.15265,0.084750004,0.16377,3.325,2.363,533.7088592172603,28.166251746055863,149.54602889564947,10.393,8.140338,1.301937,0.8961479,30.134236887972754,0.048
ERAL,0.029649999,0.16664,0.0423,0.04778,0.05296,0.10264,1.889,0.492,32.0157983213494,25.254834186707765,-10.060624020048191,16.121,10.7394905,1.069486,0.3182749,28.227450916994947,0.276
DCII,0.39859498125,0.5718,0.43271,0.63052,0.16562749999999998,0.36146998,1.223,1.191,197.6771094737908,27.95884676909949,-45.35896636969569,29.118,115.90186012499998,34.896095887499996,76.3275764,33.065000686965256,0.5878749999999999
MPMX,0.03559,0.0832,0.044320002,0.042659998,0.039839998,0.08975001,1.516,1.124,483.5818092824687,26.07394790426989,2.906909341159596,0.548,7.9365077,0.717754,0.2842759,29.108029558899226,-0.028
FISH,0.00956,0.04447,0.01644,0.02256,0.02587,0.06874,1.455,0.667,0.01728339,19.165081778375473,0.00385293625,72.631,26.865671,34.896095887499996,76.3275764,29.09427650680679,0.005
ELPI,0.24466999,0.28929,0.19636999,0.33575,0.06196,0.13172,6.905,4.391,56.48812831084727,26.712460325261997,-9.891088440366971,13.705,39.67806,4.9262815,9.711377,29.97415864490849,-0.296
BBLD,0.10185,0.8970836937500001,0.06091,0.0,0.0061799996,0.03075,2.657,2.557,288.07519294732737,27.36734847652744,0.0,134.96012499999998,31.878557,0.9752178,3.2498698,27.954891916725007,0.01
PRDA,0.085200004,0.57425,0.08383001,0.13024999,0.04378,0.08068,6.368,4.698624999999999,533.7088592172603,26.62161956819783,149.54602889564947,0.942,11.517615,0.91645724,0.9986306,28.433583167779005,-0.023
GGRM,0.01189,0.09082,0.05948,0.05663,0.014789999,0.01773,3.271,0.514,533.7088592172603,29.427384770335795,149.54602889564947,3.623,26.740791,0.47124636,0.31758595,31.006768694577232,-0.038
ASRI,0.01969,0.52234,0.25,0.34363,0.02318,0.00479,0.867,0.203,38.18438084664572,27.8939631511782,6.907490604484193,53.372,59.533077,0.2678764,1.1707599,28.731751136895177,-0.156
GOOD,0.047270004,0.27357998,0.08886,0.105579995,0.07132,0.18072,1.351,0.761,28.82560334309273,27.65849390694424,4.978767602496943,49.456,21.406727,3.4416976,1.0106479,30.18881168058344,0.065
BOLA,0.08302,0.87915003,0.091079995,0.10594,0.01055,0.03934,6.9083749999999995,4.698624999999999,55.76906615466667,24.667622296425545,-6.246063445333333,2.554,11.216859,1.5814898,2.7261221,27.62097076869727,0.496
ATIC,0.025840001,0.12562001,0.054,0.0721,0.079679996,0.37747999925,1.164,0.653,203.1160800954113,26.695749742447543,98.08694319163844,134.96012499999998,5.8737154,2.3600214,0.14264809,27.890768394421105,0.5878749999999999
APIC,0.04601,0.01227,-0.14345,0.0,0.01387,0.03765,2.375,2.362,533.7088592172603,26.73250803038385,0.0,57.19,115.90186012499998,6.0423627,7.710213,30.414715533457624,0.035
BCAP,0.0542,0.60765,0.106529996,0.0,0.00558,0.02441,3.41,3.352,177.36543382241058,28.52307036567361,0.0,65.795,16.932907,0.4371026,0.9187402,28.44585444527451,0.216
MAIN,0.02151,0.089329995,0.05032,0.05608,0.050079998,0.10343,1.607,0.551,130.8239894954999,27.265227958967312,127.50415203248656,65.693,6.1769896,0.62524617,0.13310397,28.124239545948235,0.063
YUPI,0.21392,0.32461,0.27901,0.31407,0.16549999,0.32338002,3.968,3.309,107.15601548586515,27.218069231627524,48.867930842953776,46.694,21.671389,7.6254077,4.5270233,30.2015753369573,-0.053
FOLK,-0.18132498874999997,-0.07754,-0.18273625375,-0.32741624875,-0.06475249999999999,-0.15903999874999997,1.545,0.554,0.3814360913183328,21.371166918238192,0.9520590004877292,0.978,115.90186012499998,28.31257,76.3275764,28.534262462862326,-0.288
MGRO,0.0029699998,0.07355,0.01028,0.02706,0.01673,-0.01461,0.766,0.2,63.656911079480615,24.16482346689244,25.729939710488484,134.96012499999998,115.90186012499998,6.6903477,0.38173944,28.52714035110017,0.283
HRTA,0.023759998,0.049250003,0.03724,0.04251,0.11467,0.28483,1.868,0.469,246.66413180886283,26.93276725984628,4.788005429614608,134.96012499999998,12.773968,3.1038802,0.29039496,29.800074664277947,0.5878749999999999
GDST,0.04403,0.11439,0.027980002,0.04927,0.02167,0.07413,1.227,0.963,107.39090232296456,25.32637038762809,-4.848158107871247,80.683,9.59596,0.74145854,0.45465547,27.683276709500085,-0.244
RANC,-0.02029,0.24370001,0.0029300002,0.010880001,-0.014520001,-0.15903999874999997,0.895,0.154,48.41868839987536,25.479492897153985,45.25847282768319,121.477,115.90186012499998,4.038455,0.38946447,27.750075400151736,-0.003
SIPD,0.00416,0.094469994,0.026589999,0.0295,0.015800001,0.01843,0.974,0.477,533.7088592172603,25.37053723087068,-89.75242766083986,73.66,115.90186012499998,2.2666974,0.5178426,28.639074656165565,0.1
PWON,0.30543,0.56353,0.41426998,0.5286,0.05243,0.102419995,3.976,2.356,152.14660728079434,28.755025156573748,61.14279498420444,21.136,8.104458,0.7939274,2.4759037,30.48389039401405,0.144
MYOR,0.0754,0.21122,0.09075,0.14089,0.07305,0.17171,2.961,1.728,201.68677632347732,28.505575050765277,51.2238318404008,51.345,18.570978,3.040524,1.3993939,31.5938235691621,-0.006
ALDO,0.00145,0.13239999,0.05945,0.06518,0.01958,0.00271,1.207,0.629,25.48708983852034,24.49796027054139,9.610886847503131,55.378,115.90186012499998,1.4811965,0.7497458,28.06150818087577,0.149
CLEO,0.15622,0.56294996,0.20341998,0.29895002,0.13841,0.22021,1.425,0.434,1.716152832,27.06103474641164,4.860688042666666,20.022,20.50187,4.241313,3.277201,29.851962162993196,0.067
